resume_index,job_index,tfidf_similarity,embedding_similarity,skill_overlap_count,skill_match_ratio,keyword_overlap,resume_word_count,job_word_count,readability_score,skill_density,resume_quality_score,score,label
0,0,0.0,0.19888877868652344,0,0.0,0.25,350,8,25.828571428571422,0.0,0.7,0.05966663360595703,1
0,1,0.0,0.16091464459896088,0,0.0,0.25,350,8,25.828571428571422,0.0,0.7,0.04827439337968826,0
0,2,0.0,0.15158317983150482,0,0.0,0.25,350,8,25.828571428571422,0.0,0.7,0.04547495394945145,0
0,3,0.0,0.1780073642730713,0,0.0,0.25,350,8,25.828571428571422,0.0,0.7,0.05340220928192139,0
0,4,0.0,0.14701496064662933,0,0.0,0.25,350,8,25.828571428571422,0.0,0.7,0.0441044881939888,0
0,5,0.0,0.14850270748138428,0,0.0,0.25,350,8,25.828571428571422,0.0,0.7,0.04455081224441528,0
1,0,0.0,0.2692761719226837,0,0.0,0.25,375,8,27.439999999999998,0.0,0.7,0.0807828515768051,1
1,1,0.0,0.2263897955417633,0,0.0,0.25,375,8,27.439999999999998,0.0,0.7,0.06791693866252899,1
1,2,0.0,0.21543410420417786,0,0.0,0.25,375,8,27.439999999999998,0.0,0.7,0.06463023126125335,1
1,3,0.0,0.24514952301979065,0,0.0,0.25,375,8,27.439999999999998,0.0,0.7,0.07354485690593719,1
1,4,0.0,0.20177850127220154,0,0.0,0.25,375,8,27.439999999999998,0.0,0.7,0.06053355038166046,1
1,5,0.0,0.20758487284183502,0,0.0,0.25,375,8,27.439999999999998,0.0,0.7,0.06227546185255051,1
2,0,0.012264017362361785,0.30355942249298096,0,0.0,0.375,487,8,28.521560574948666,0.0,0.7,0.09719983542907518,1
2,1,0.012264017362361785,0.2655180096626282,0,0.0,0.375,487,8,28.521560574948666,0.0,0.7,0.08578741157996934,1
2,2,0.012264017362361783,0.25570154190063477,0,0.0,0.375,487,8,28.521560574948666,0.0,0.7,0.08284247125137133,1
2,3,0.012264017362361785,0.28311654925346375,0,0.0,0.375,487,8,28.521560574948666,0.0,0.7,0.09106697345722002,1
2,4,0.012264017362361785,0.25122833251953125,0,0.0,0.375,487,8,28.521560574948666,0.0,0.7,0.08150050843704026,1
2,5,0.012264017362361785,0.25225669145584106,0,0.0,0.375,487,8,28.521560574948666,0.0,0.7,0.08180901611793322,1
3,0,0.0,0.24724234640598297,0,0.0,0.25,204,8,30.735294117647058,0.0,0.7,0.07417270392179488,1
3,1,0.0,0.21245715022087097,0,0.0,0.25,204,8,30.735294117647058,0.0,0.7,0.06373714506626128,1
3,2,0.0,0.20533013343811035,0,0.0,0.25,204,8,30.735294117647058,0.0,0.7,0.0615990400314331,1
